person,img_path,img_name
Adolfo_Aguilar_Zinser,data/raw\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0002.jpg,Adolfo_Aguilar_Zinser_0002.jpg
Adolfo_Aguilar_Zinser,data/raw\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0003.jpg,Adolfo_Aguilar_Zinser_0003.jpg
Al_Davis,data/raw\Al_Davis\Al_Davis_0001.jpg,Al_Davis_0001.jpg
Ali_Naimi,data/raw\Ali_Naimi\Ali_Naimi_0001.jpg,Ali_Naimi_0001.jpg
Ali_Naimi,data/raw\Ali_Naimi\Ali_Naimi_0008.jpg,Ali_Naimi_0008.jpg
Ali_Naimi,data/raw\Ali_Naimi\Ali_Naimi_0003.jpg,Ali_Naimi_0003.jpg
Ali_Naimi,data/raw\Ali_Naimi\Ali_Naimi_0005.jpg,Ali_Naimi_0005.jpg
Ali_Naimi,data/raw\Ali_Naimi\Ali_Naimi_0004.jpg,Ali_Naimi_0004.jpg
Ali_Naimi,data/raw\Ali_Naimi\Ali_Naimi_0007.jpg,Ali_Naimi_0007.jpg
Amanda_Beard,data/raw\Amanda_Beard\Amanda_Beard_0001.jpg,Amanda_Beard_0001.jpg
Andrew_Niccol,data/raw\Andrew_Niccol\Andrew_Niccol_0001.jpg,Andrew_Niccol_0001.jpg
Antonio_Banderas,data/raw\Antonio_Banderas\Antonio_Banderas_0005.jpg,Antonio_Banderas_0005.jpg
Antonio_Banderas,data/raw\Antonio_Banderas\Antonio_Banderas_0003.jpg,Antonio_Banderas_0003.jpg
Antonio_Banderas,data/raw\Antonio_Banderas\Antonio_Banderas_0001.jpg,Antonio_Banderas_0001.jpg
Antonio_Banderas,data/raw\Antonio_Banderas\Antonio_Banderas_0004.jpg,Antonio_Banderas_0004.jpg
Antonio_Palocci,data/raw\Antonio_Palocci\Antonio_Palocci_0001.jpg,Antonio_Palocci_0001.jpg
Antonio_Palocci,data/raw\Antonio_Palocci\Antonio_Palocci_0008.jpg,Antonio_Palocci_0008.jpg
Antonio_Palocci,data/raw\Antonio_Palocci\Antonio_Palocci_0003.jpg,Antonio_Palocci_0003.jpg
Antonio_Palocci,data/raw\Antonio_Palocci\Antonio_Palocci_0005.jpg,Antonio_Palocci_0005.jpg
Antonio_Palocci,data/raw\Antonio_Palocci\Antonio_Palocci_0004.jpg,Antonio_Palocci_0004.jpg
Antonio_Palocci,data/raw\Antonio_Palocci\Antonio_Palocci_0007.jpg,Antonio_Palocci_0007.jpg
Aron_Ralston,data/raw\Aron_Ralston\Aron_Ralston_0001.jpg,Aron_Ralston_0001.jpg
Aung_San_Suu_Kyi,data/raw\Aung_San_Suu_Kyi\Aung_San_Suu_Kyi_0001.jpg,Aung_San_Suu_Kyi_0001.jpg
Barry_Zito,data/raw\Barry_Zito\Barry_Zito_0001.jpg,Barry_Zito_0001.jpg
Bashar_Assad,data/raw\Bashar_Assad\Bashar_Assad_0004.jpg,Bashar_Assad_0004.jpg
Bashar_Assad,data/raw\Bashar_Assad\Bashar_Assad_0001.jpg,Bashar_Assad_0001.jpg
Bashar_Assad,data/raw\Bashar_Assad\Bashar_Assad_0003.jpg,Bashar_Assad_0003.jpg
Ben_Glisan,data/raw\Ben_Glisan\Ben_Glisan_0001.jpg,Ben_Glisan_0001.jpg
Betsy_Smith,data/raw\Betsy_Smith\Betsy_Smith_0001.jpg,Betsy_Smith_0001.jpg
Bill_Frist,data/raw\Bill_Frist\Bill_Frist_0006.jpg,Bill_Frist_0006.jpg
Bill_Frist,data/raw\Bill_Frist\Bill_Frist_0001.jpg,Bill_Frist_0001.jpg
Bill_Frist,data/raw\Bill_Frist\Bill_Frist_0009.jpg,Bill_Frist_0009.jpg
Bill_Frist,data/raw\Bill_Frist\Bill_Frist_0003.jpg,Bill_Frist_0003.jpg
Bill_Frist,data/raw\Bill_Frist\Bill_Frist_0005.jpg,Bill_Frist_0005.jpg
Bill_Frist,data/raw\Bill_Frist\Bill_Frist_0004.jpg,Bill_Frist_0004.jpg
Bill_Frist,data/raw\Bill_Frist\Bill_Frist_0007.jpg,Bill_Frist_0007.jpg
